Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
opt-125m/5.self_attn.k_proj	2.1462268829345703	1.5604444742202759	1.4356122016906738	1.0009790658950806	0.5348058938980103
opt-125m/5.self_attn.out_proj	0.0001696249091764912	0.00016700878040865064	0.00017184142780024558	0.0001652529026614502	0.00015014679229352623
opt-125m/5.self_attn.q_proj	1.5289669036865234	1.1226943731307983	1.1431809663772583	0.8473408818244934	0.5421043038368225
opt-125m/5.self_attn.v_proj	0.021564483642578125	0.0195111483335495	0.02328382432460785	0.020800838246941566	0.015800761058926582
opt-125m/6.fc1	0.012013339437544346	0.00866195559501648	0.017986617982387543	0.00865746010094881	0.007241568062454462
opt-125m/6.fc2	0.0006460095755755901	0.0006393363000825047	0.0005881692632101476	0.0005456265644170344	0.0005051955231465399
opt-125m/6.self_attn.k_proj	2.0684187412261963	1.5267890691757202	1.396009922027588	1.0193983316421509	0.5453603863716125
opt-125m/6.self_attn.out_proj	0.00023316917940974236	0.00022972386796027422	0.00023883003450464457	0.00022850133245810866	0.00020667158241849393
opt-125m/6.self_attn.q_proj	1.317380428314209	0.9306333661079407	0.9375338554382324	0.7048712372779846	0.4448208510875702
opt-125m/6.self_attn.v_proj	0.02611498534679413	0.024292143061757088	0.028076699003577232	0.02512655220925808	0.02015809528529644
opt-125m/7.fc1	0.014779460616409779	0.01102426927536726	0.01827511005103588	0.0109931081533432	0.009310245513916016
opt-125m/7.fc2	0.0008007296710275114	0.0007926589460112154	0.0007559594814665616	0.0007127777207642794	0.0006594259175471961
opt-125m/7.self_attn.k_proj	1.5852349996566772	1.242466926574707	1.0875324010849	0.9408618807792664	0.5251477956771851
opt-125m/7.self_attn.out_proj	0.00034349513589404523	0.00033940852154046297	0.00034474945277906954	0.00033696231548674405	0.00030742838862352073
opt-125m/7.self_attn.q_proj	0.9442238807678223	0.707374632358551	0.6925122141838074	0.6169437766075134	0.3956838548183441
opt-125m/7.self_attn.v_proj	0.029791122302412987	0.02878378890454769	0.03242114186286926	0.029259419068694115	0.022931093350052834
opt-125m/8.fc1	0.019840391352772713	0.015125843696296215	0.022228039801120758	0.015042446553707123	0.012813885696232319
opt-125m/8.fc2	0.0012858064146712422	0.0012748412555083632	0.0012588172685354948	0.0011858319630846381	0.0011013943003490567
opt-125m/8.self_attn.k_proj	1.4087668657302856	1.1322091817855835	0.9743416905403137	0.8861830234527588	0.6093431115150452
opt-125m/8.self_attn.out_proj	0.0005976834218017757	0.0005917244707234204	0.0006095129065215588	0.0005884729907847941	0.0005304469959810376
opt-125m/8.self_attn.q_proj	0.8477638363838196	0.6505585312843323	0.6538892984390259	0.595755398273468	0.409944623708725
opt-125m/8.self_attn.v_proj	0.034376516938209534	0.03413586691021919	0.03744041547179222	0.03368208557367325	0.02819143235683441
