Data	MSE	Diag	Hessian	OBQAware
opt-125m/6.fc2	0.0003412085061427206	0.0003290780878160149	0.0003362686838954687	0.0003068287333007902
opt-125m/6.self_attn.k_proj	1.4709696769714355	0.258060485124588	0.241773322224617	0.205808624625206
opt-125m/6.self_attn.out_proj	0.00011678496230160818	0.00011908940359717235	0.00011951915075769648	0.00011358688789186999
opt-125m/6.self_attn.q_proj	0.8934175968170166	0.22066748142242432	0.2004174143075943	0.17225831747055054
opt-125m/6.self_attn.v_proj	0.008248422294855118	0.008271031081676483	0.008334033191204071	0.008004586212337017
opt-125m/7.fc1	0.005978720728307962	0.006712280213832855	0.006090675015002489	0.005450783763080835
opt-125m/7.fc2	0.000426309066824615	0.0004130770394112915	0.0004207377787679434	0.00039166343049146235
opt-125m/7.self_attn.k_proj	0.9627453684806824	0.27731558680534363	0.24625618755817413	0.21708445250988007
opt-125m/7.self_attn.out_proj	0.00017839670181274414	0.00017928447050508112	0.00018597392772790045	0.0001714152895146981
opt-125m/7.self_attn.q_proj	0.581311047077179	0.22562389075756073	0.2010660171508789	0.17740611732006073
opt-125m/7.self_attn.v_proj	0.011354665271937847	0.010406455025076866	0.010456018149852753	0.00989940669387579
opt-125m/8.fc1	0.008086447604000568	0.008577680215239525	0.00832434929907322	0.007474614307284355
opt-125m/8.fc2	0.0006857702974230051	0.0006819243426434696	0.0007054571178741753	0.0006539340247400105
opt-125m/8.self_attn.k_proj	0.8955802321434021	0.3055967092514038	0.2781626284122467	0.2517684996128082
opt-125m/8.self_attn.out_proj	0.0002965487365145236	0.00030559118022210896	0.0003078682057093829	0.000290258030872792
opt-125m/8.self_attn.q_proj	0.48409798741340637	0.24038080871105194	0.21657054126262665	0.19625668227672577
opt-125m/8.self_attn.v_proj	0.013490520417690277	0.01342987921088934	0.013553418219089508	0.013094301335513592
opt-125m/9.fc1	0.01061048824340105	0.011144752614200115	0.0107729472219944	0.009880974888801575
