Data	Max	MSE	Diag	Hessian	OBQAware
opt-125m/3.fc2	0.015100255608558655	0.0007704842719249427	0.0007649266626685858	0.0006979741156101227	0.0005579431890510023
opt-125m/3.self_attn.k_proj	4.870753288269043	2.041638135910034	1.3822922706604004	1.1876033544540405	0.9052844047546387
opt-125m/3.self_attn.out_proj	0.0016617514193058014	6.925332127138972e-05	7.045354141155258e-05	7.189840835053474e-05	6.785554433008656e-05
opt-125m/3.self_attn.q_proj	4.5089592933654785	1.8198822736740112	1.247056484222412	1.0653705596923828	0.7505270838737488
opt-125m/3.self_attn.v_proj	0.4797342121601105	0.02453705668449402	0.027738019824028015	0.025656715035438538	0.020682847127318382
opt-125m/4.fc1	0.1470155566930771	0.019830254837870598	0.02471945993602276	0.012339290231466293	0.010661299340426922
opt-125m/4.fc2	0.020986251533031464	0.0009599071927368641	0.0009039738215506077	0.0009204170783050358	0.0007187791052274406
opt-125m/4.self_attn.k_proj	9.959000587463379	2.353416681289673	1.661111831665039	1.535401463508606	1.2078627347946167
opt-125m/4.self_attn.out_proj	0.0018951353849843144	9.904062608256936e-05	9.954022971214727e-05	0.00010189128806814551	9.711634629638866e-05
opt-125m/4.self_attn.q_proj	8.927567481994629	1.6988826990127563	1.2658253908157349	1.1808323860168457	0.8735814094543457
opt-125m/4.self_attn.v_proj	0.833993673324585	0.04437291622161865	0.0344805084168911	0.033635884523391724	0.03143595531582832
opt-125m/5.fc1	0.13448357582092285	0.01275355089455843	0.01841556467115879	0.010009354911744595	0.009248447604477406
opt-125m/5.fc2	0.03305806219577789	0.0005153703386895359	0.0004578821826726198	0.0004971279413439333	0.0004500939976423979
opt-125m/5.self_attn.k_proj	11.408740043640137	2.2790658473968506	1.6168452501296997	1.5453740358352661	1.2110655307769775
opt-125m/5.self_attn.out_proj	0.003213717369362712	0.00016971451987046748	0.00017201709852088243	0.00017724151257425547	0.00016738330305088311
opt-125m/5.self_attn.q_proj	9.853238105773926	1.7214536666870117	1.3148300647735596	1.2324408292770386	0.9295913577079773
opt-125m/5.self_attn.v_proj	0.6902868747711182	0.036615822464227676	0.02715414948761463	0.02746453322470188	0.025981033220887184
opt-125m/6.fc1	0.14051930606365204	0.013336981646716595	0.020349910482764244	0.010632731951773167	0.009634369052946568
opt-125m/6.fc2	0.039359498769044876	0.0006465649348683655	0.0005885245627723634	0.000650376605335623	0.0005787559784948826
opt-125m/6.self_attn.k_proj	9.59399700164795	2.1750636100769043	1.5511035919189453	1.4700924158096313	1.2252804040908813
opt-125m/6.self_attn.out_proj	0.004527990706264973	0.00023372350551653653	0.0002392586466157809	0.00024230702547356486	0.0002306600072188303
opt-125m/6.self_attn.q_proj	7.499959945678711	1.4130905866622925	1.0374191999435425	0.9890265464782715	0.7767634987831116
opt-125m/6.self_attn.v_proj	0.7322074770927429	0.041046541184186935	0.03298008069396019	0.03333254158496857	0.031854402273893356
opt-125m/7.fc1	0.18241755664348602	0.015307318419218063	0.019003205001354218	0.012496707029640675	0.011798780411481857
opt-125m/7.fc2	0.048494547605514526	0.0008015252533368766	0.0007566064596176147	0.0008342890068888664	0.0007448976975865662
opt-125m/7.self_attn.k_proj	5.976466655731201	1.619022250175476	1.1238652467727661	1.0094976425170898	0.8780226707458496
opt-125m/7.self_attn.out_proj	0.006177803035825491	0.0003442771267145872	0.00034545559901744127	0.00036986233317293227	0.0003376916574779898
opt-125m/7.self_attn.q_proj	4.882734775543213	0.9892165660858154	0.7398018836975098	0.6457874178886414	0.5551844239234924
opt-125m/7.self_attn.v_proj	0.3904627859592438	0.03028552234172821	0.032798171043395996	0.031189508736133575	0.027527526021003723
opt-125m/8.fc1	0.24087677896022797	0.02030140906572342	0.02281036041676998	0.017307346686720848	0.0160896647721529
opt-125m/8.fc2	0.08301364630460739	0.0012869230704382062	0.0012596773449331522	0.0013856823788955808	0.0012355284998193383
opt-125m/8.self_attn.k_proj	5.623081207275391	1.4390751123428345	1.0060346126556396	0.9309439659118652	0.7971488833427429
opt-125m/8.self_attn.out_proj	0.010622787289321423	0.0005987970507703722	0.000610140326898545	0.000623306492343545	0.0005876973737031221
opt-125m/8.self_attn.q_proj	4.581169128417969	0.891038179397583	0.6970634460449219	0.6038489937782288	0.5229584574699402
opt-125m/8.self_attn.v_proj	0.49332141876220703	0.035076580941677094	0.03785302862524986	0.036619532853364944	0.03342994675040245
opt-125m/9.fc1	0.3064371645450592	0.02732194773852825	0.02822987176477909	0.022808805108070374	0.02143329568207264
opt-125m/9.fc2	0.10002129524946213	0.0019747663754969835	0.0019633763004094362	0.002154087647795677	0.0019268161850050092
opt-125m/9.self_attn.k_proj	6.2062907218933105	1.0710363388061523	0.8059012293815613	0.7437248229980469	0.6636576056480408
opt-125m/9.self_attn.out_proj	0.01776612363755703	0.001023052609525621	0.0010489715496078134	0.0010718766134232283	0.0010046386159956455
opt-125m/9.self_attn.q_proj	4.750500202178955	0.5871334671974182	0.5096051692962646	0.4450410306453705	0.4107467830181122
opt-125m/9.self_attn.v_proj	0.5585772395133972	0.039502229541540146	0.04137248173356056	0.04076111689209938	0.03781789168715477
opt-350m/0.fc1	0.8205861449241638	0.3554098606109619	0.38299453258514404	0.24985536932945251	0.18932554125785828
opt-350m/0.fc2	0.06563350558280945	0.005461070686578751	0.00547211617231369	0.0054473672062158585	0.00511954678222537
opt-350m/0.self_attn.k_proj	0.002705683233216405	0.01608707197010517	0.011823592707514763	0.004002346657216549	0.0018866481259465218
