Data	Scaling	Diag	DiagErr	DiagSqErr
opt-350m/16.self_attn.q_proj	mse	0.022130293771624565	0.022065311670303345	0.021928293630480766
opt-350m/16.self_attn.v_proj	mse	0.015851525589823723	0.015767741948366165	0.015558384358882904
opt-350m/17.fc1	mse	0.01518886536359787	0.015160667710006237	0.015108125284314156
opt-350m/17.fc2	mse	0.001835703500546515	0.001825696905143559	0.0018142146291211247
opt-350m/17.self_attn.k_proj	mse	0.020121658220887184	0.020042531192302704	0.019889526069164276
opt-350m/17.self_attn.out_proj	mse	0.000496565829962492	0.0004956270568072796	0.0004944868851453066
opt-350m/17.self_attn.q_proj	mse	0.021356264129281044	0.021302789449691772	0.02111392840743065
opt-350m/17.self_attn.v_proj	mse	0.014964350499212742	0.01486528106033802	0.014662235975265503
opt-350m/18.fc1	mse	0.01442817971110344	0.01440784614533186	0.014347067102789879
opt-350m/18.fc2	mse	0.0016206587897613645	0.0016114736208692193	0.0016034352593123913
opt-350m/18.self_attn.k_proj	mse	0.019442811608314514	0.019384562969207764	0.019209878519177437
opt-350m/18.self_attn.out_proj	mse	0.00035281869350001216	0.00035232084337621927	0.00035080520319752395
opt-350m/18.self_attn.q_proj	mse	0.021160999312996864	0.021083204075694084	0.020944159477949142
opt-350m/18.self_attn.v_proj	mse	0.014255769550800323	0.01417485997080803	0.013982822187244892
opt-350m/19.fc1	mse	0.013919740915298462	0.01390153355896473	0.013834805227816105
opt-350m/19.fc2	mse	0.00154662667773664	0.0015366525622084737	0.0015251110307872295
opt-350m/19.self_attn.k_proj	mse	0.020129477605223656	0.020029734820127487	0.019918540492653847
opt-350m/19.self_attn.out_proj	mse	0.000456782930996269	0.0004558162472676486	0.00045438873348757625
opt-350m/19.self_attn.q_proj	mse	0.021598195657134056	0.021519038826227188	0.02137308567762375
opt-350m/19.self_attn.v_proj	mse	0.01235976628959179	0.012255741283297539	0.012088878080248833
opt-350m/2.fc1	mse	0.008858623914420605	0.00882070790976286	0.008682708255946636
opt-350m/2.fc2	mse	0.0006754215573891997	0.0006740802200511098	0.0006734308553859591
opt-350m/2.self_attn.k_proj	mse	0.009626565501093864	0.009588232263922691	0.009482434019446373
opt-350m/2.self_attn.out_proj	mse	0.00014746615488547832	0.00014690420357510448	0.00014634481340181082
opt-350m/2.self_attn.q_proj	mse	0.01029294729232788	0.010230382904410362	0.010051539167761803
opt-350m/2.self_attn.v_proj	mse	0.0056366221979260445	0.005537563003599644	0.005303936079144478
opt-350m/20.fc1	mse	0.014017181470990181	0.013996928930282593	0.013935249298810959
opt-350m/20.fc2	mse	0.0016381313325837255	0.0016236791852861643	0.0016091250581666827
opt-350m/20.self_attn.k_proj	mse	0.022607363760471344	0.022375956177711487	0.022188158705830574
opt-350m/20.self_attn.out_proj	mse	0.0005704539362341166	0.0005688246455974877	0.0005665853968821466
opt-350m/20.self_attn.q_proj	mse	0.021970320492982864	0.021875133737921715	0.02174353413283825
opt-350m/20.self_attn.v_proj	mse	0.01130296103656292	0.011218194849789143	0.01104913093149662
opt-350m/21.fc1	mse	0.014207718893885612	0.014177126809954643	0.014096662402153015
opt-350m/21.fc2	mse	0.0018327519064769149	0.0018088866490870714	0.001786916283890605
opt-350m/21.self_attn.k_proj	mse	0.024702705442905426	0.024291913956403732	0.023901380598545074
opt-350m/21.self_attn.out_proj	mse	0.0005044662393629551	0.000503336894325912	0.0005008084117434919
opt-350m/21.self_attn.q_proj	mse	0.023822154849767685	0.02365260384976864	0.023429155349731445
opt-350m/21.self_attn.v_proj	mse	0.011210162192583084	0.011136136949062347	0.010970738716423512
opt-350m/22.fc1	mse	0.013527899980545044	0.013479279354214668	0.01338532567024231
opt-350m/22.fc2	mse	0.0021498012356460094	0.0021189493127167225	0.0020743063651025295
opt-350m/22.self_attn.k_proj	mse	0.036082956939935684	0.03475341945886612	0.03378155082464218
opt-350m/22.self_attn.out_proj	mse	0.0010035044979304075	0.0009945719502866268	0.000988365733064711
opt-350m/22.self_attn.q_proj	mse	0.027145210653543472	0.02697809785604477	0.026751309633255005
opt-350m/22.self_attn.v_proj	mse	0.012064173817634583	0.01198546588420868	0.011836989782750607
opt-350m/23.fc1	mse	0.011709285899996758	0.011619403026998043	0.01149878092110157
opt-350m/23.fc2	mse	0.0020017209462821484	0.00197994033806026	0.001953619532287121
opt-350m/23.self_attn.k_proj	mse	0.023391829803586006	0.022972308099269867	0.02261732891201973
opt-350m/23.self_attn.out_proj	mse	0.0011348898988217115	0.0011324378428980708	0.0011122444411739707
opt-350m/23.self_attn.q_proj	mse	0.021930774673819542	0.021747082471847534	0.021448995918035507
opt-350m/23.self_attn.v_proj	mse	0.016051173210144043	0.015891695395112038	0.015639469027519226
opt-350m/3.fc1	mse	0.00970590952783823	0.009673258289694786	0.009573515504598618
opt-350m/3.fc2	mse	0.0007339246803894639	0.0007327448693104088	0.0007310591754503548
opt-350m/3.self_attn.k_proj	mse	0.011563416570425034	0.01152726635336876	0.01140058133751154
opt-350m/3.self_attn.out_proj	mse	0.00015248978161253035	0.0001523305254522711	0.0001521107042208314
opt-350m/3.self_attn.q_proj	mse	0.012413278222084045	0.012332430109381676	0.01218591257929802
opt-350m/3.self_attn.v_proj	mse	0.0069726905785501	0.006871887482702732	0.0066322991624474525
opt-350m/4.fc1	mse	0.010297824628651142	0.0102703757584095	0.01019814983010292
opt-350m/4.fc2	mse	0.0008350764983333647	0.00083428795915097	0.0008335632155649364
opt-350m/4.self_attn.k_proj	mse	0.013003014028072357	0.012925736606121063	0.012808472849428654
opt-350m/4.self_attn.out_proj	mse	0.00018835358787328005	0.00018799240933731198	0.00018751449533738196
opt-350m/4.self_attn.q_proj	mse	0.013546109199523926	0.013491112738847733	0.01333276741206646
opt-350m/4.self_attn.v_proj	mse	0.007003400940448046	0.006939621642231941	0.0067589785903692245
opt-350m/5.fc1	mse	0.010783717036247253	0.0107647106051445	0.01069800928235054
