Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/20.mlp.dense_4h_to_h	mse	0.007060983218252659	0.00697299325838685	0.006821502465754747	0.006663713604211807	0.00670390110462904	0.007026245817542076	0.007846840657293797
bloom-560m/20.mlp.dense_h_to_4h	mse	0.04266005754470825	0.042353566735982895	0.042124222964048386	0.04201336205005646	0.04239463433623314	0.044269971549510956	0.04931144416332245
bloom-560m/20.self_attention.dense	mse	0.0026996834203600883	0.002697482705116272	0.0026847445406019688	0.00266198324970901	0.0026669346261769533	0.002764882519841194	0.0030801347456872463
bloom-560m/20.self_attention.query_key_value	mse	0.3442113697528839	0.34187090396881104	0.35412636399269104	0.3372858464717865	0.306681364774704	0.2922387421131134	0.3012618124485016
bloom-560m/21.mlp.dense_4h_to_h	mse	0.0199777539819479	0.01951214298605919	0.018367961049079895	0.017188899219036102	0.016877230256795883	0.017824571579694748	0.02051926963031292
bloom-560m/21.mlp.dense_h_to_4h	mse	0.04345107078552246	0.04284941032528877	0.042441774159669876	0.042290717363357544	0.042898014187812805	0.04517605900764465	0.05121762305498123
bloom-560m/21.self_attention.dense	mse	0.018494080752134323	0.018429625779390335	0.01796775497496128	0.01723402738571167	0.01628078892827034	0.0158728938549757	0.0179196298122406
bloom-560m/21.self_attention.query_key_value	mse	0.4028255045413971	0.41555652022361755	0.4074062407016754	0.3645451068878174	0.3134491741657257	0.295430988073349	0.31075334548950195
bloom-560m/22.mlp.dense_4h_to_h	mse	0.020505599677562714	0.020211290568113327	0.01952839270234108	0.018975693732500076	0.019285839051008224	0.020661812275648117	0.023746762424707413
bloom-560m/22.mlp.dense_h_to_4h	mse	0.050267282873392105	0.049178026616573334	0.04850667342543602	0.04816026613116264	0.04884675145149231	0.05227428302168846	0.06058827042579651
bloom-560m/22.self_attention.dense	mse	0.04027147963643074	0.03922996670007706	0.03698306903243065	0.03262169286608696	0.027124367654323578	0.02416289784014225	0.025301463901996613
bloom-560m/22.self_attention.query_key_value	mse	0.49022987484931946	0.4553803503513336	0.4179798364639282	0.3574056625366211	0.2775864899158478	0.24911673367023468	0.2666912078857422
bloom-560m/23.mlp.dense_4h_to_h	mse	0.014366152696311474	0.013690365478396416	0.012609087862074375	0.0113367959856987	0.010001406073570251	0.009612984955310822	0.010492857545614243
bloom-560m/23.mlp.dense_h_to_4h	mse	0.11645139008760452	0.11184995621442795	0.10674984008073807	0.10113409161567688	0.09791958332061768	0.09935026615858078	0.10588733106851578
bloom-560m/23.self_attention.dense	mse	0.003866734215989709	0.0038605828303843737	0.0037822530139237642	0.0036157274153083563	0.003410670906305313	0.0033601808827370405	0.003645827993750572
bloom-560m/23.self_attention.query_key_value	mse	0.036620959639549255	0.03582976013422012	0.035150203853845596	0.03452758118510246	0.03479655459523201	0.03739830479025841	0.04392024502158165
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0021982183679938316	0.0021955426782369614	0.0021897994447499514	0.002186734229326248	0.0022044838406145573	0.002281313296407461	0.0024865400046110153
bloom-560m/3.mlp.dense_h_to_4h	mse	0.035164132714271545	0.03490859270095825	0.03467824310064316	0.034566521644592285	0.03475087881088257	0.03586992993950844	0.03926949203014374
bloom-560m/3.self_attention.dense	mse	0.0007462388020940125	0.0007347314385697246	0.0007205165456980467	0.0006894308608025312	0.0006536677246913314	0.0006366563611663878	0.0006676497869193554
bloom-560m/3.self_attention.query_key_value	mse	0.03502475842833519	0.03472236916422844	0.034508343786001205	0.034434910863637924	0.03453510254621506	0.035500600934028625	0.03876219689846039
bloom-560m/4.mlp.dense_4h_to_h	mse	0.06160932406783104	0.0610993355512619	0.05996177718043327	0.057594235986471176	0.05458829551935196	0.0523393377661705	0.050335004925727844
bloom-560m/4.mlp.dense_h_to_4h	mse	0.032548874616622925	0.03209315985441208	0.03172554075717926	0.03163193166255951	0.03181104362010956	0.03280501812696457	0.035942863672971725
bloom-560m/4.self_attention.dense	mse	0.0006899006548337638	0.0006646081455983222	0.0006233511376194656	0.0005846541025675833	0.000543956586625427	0.0005471924087032676	0.0005961359711363912
bloom-560m/4.self_attention.query_key_value	mse	0.036229465156793594	0.03572758659720421	0.03545728698372841	0.0352531336247921	0.03532688319683075	0.036243584007024765	0.03962961956858635
bloom-560m/5.mlp.dense_4h_to_h	mse	0.00294540380127728	0.002839749213308096	0.0027786786668002605	0.0027487268671393394	0.0027304659597575665	0.002776832552626729	0.0030015476513653994
bloom-560m/5.mlp.dense_h_to_4h	mse	0.02625483274459839	0.026000190526247025	0.025823354721069336	0.025776319205760956	0.02590598165988922	0.026786349713802338	0.029483873397111893
bloom-560m/5.self_attention.dense	mse	0.0007598451338708401	0.0007554019102826715	0.0007400189060717821	0.0007168556330725551	0.0007010324625298381	0.0007134951883926988	0.0007886280072852969
bloom-560m/5.self_attention.query_key_value	mse	0.04458513483405113	0.04351411387324333	0.0426734983921051	0.04216952621936798	0.041962116956710815	0.04308159276843071	0.04774202033877373
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0028415655251592398	0.0027612128760665655	0.0026196734979748726	0.0024374101776629686	0.0023461724631488323	0.002408635336905718	0.002645003143697977
bloom-560m/6.mlp.dense_h_to_4h	mse	0.03115939535200596	0.030995728448033333	0.03083767741918564	0.030770812183618546	0.031011410057544708	0.03224541246891022	0.03584229201078415
bloom-560m/6.self_attention.dense	mse	0.0008498223032802343	0.0008494713110849261	0.0008498663082718849	0.0008498379611410201	0.0008649417432025075	0.0009144683717750013	0.0010394074488431215
bloom-560m/6.self_attention.query_key_value	mse	0.0699540302157402	0.06895536184310913	0.0676344707608223	0.06669130176305771	0.06663037836551666	0.06826288253068924	0.07597995549440384
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0018730848096311092	0.0018035199027508497	0.0018058298155665398	0.0018425098387524486	0.001864521182142198	0.0019146103877574205	0.002080976963043213
bloom-560m/7.mlp.dense_h_to_4h	mse	0.018389783799648285	0.01804477348923683	0.017809825018048286	0.017733002081513405	0.017803717404603958	0.018430527299642563	0.020428940653800964
bloom-560m/7.self_attention.dense	mse	0.0007236628443934023	0.0007121122325770557	0.0006970935501158237	0.0006791487103328109	0.0006871924269944429	0.0007289305794984102	0.0008358819177374244
bloom-560m/7.self_attention.query_key_value	mse	0.07202406972646713	0.07028763741254807	0.06729861348867416	0.06501582264900208	0.06347612291574478	0.06449618935585022	0.07359328866004944
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0016129688592627645	0.0015474300598725677	0.001545530278235674	0.0015899557620286942	0.0016152603784576058	0.0016383356414735317	0.0017421315424144268
bloom-560m/8.mlp.dense_h_to_4h	mse	0.013260336592793465	0.012963643297553062	0.012732677161693573	0.012612732127308846	0.012655802071094513	0.013141808100044727	0.01459788903594017
bloom-560m/8.self_attention.dense	mse	0.0007402210612781346	0.0007395761203952134	0.000738768489100039	0.0007373987464234233	0.0007473277510143816	0.000786317978054285	0.00088670221157372
bloom-560m/8.self_attention.query_key_value	mse	0.15792782604694366	0.15364481508731842	0.14197774231433868	0.13201288878917694	0.1232132688164711	0.12199877947568893	0.1362455040216446
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0015592449344694614	0.0014895123895257711	0.001477927202358842	0.0015175980515778065	0.0015509129734709859	0.0015685668913647532	0.001653734827414155
bloom-560m/9.mlp.dense_h_to_4h	mse	0.011918121948838234	0.011767073534429073	0.011500714346766472	0.01126067154109478	0.011327246204018593	0.01164299063384533	0.012623829767107964
bloom-560m/9.self_attention.dense	mse	0.0007795011042617261	0.0007787654176354408	0.0007775633130222559	0.0007771692471578717	0.0007835642900317907	0.0008093545911833644	0.0008761333301663399
bloom-560m/9.self_attention.query_key_value	mse	0.2491605132818222	0.24597246944904327	0.23737017810344696	0.22734995186328888	0.21834950149059296	0.21164387464523315	0.21828961372375488
opt-125m/0.fc1	mse	0.0008896084618754685	0.0008891511824913323	0.0008851264719851315	0.0008741260971873999	0.000878418271895498	0.0009011508082039654	0.0009779888205230236
opt-125m/0.fc2	mse	0.010808880440890789	0.010809562169015408	0.010809611529111862	0.01081140711903572	0.010808039456605911	0.010804223828017712	0.010800350457429886
opt-125m/0.self_attn.k_proj	mse	0.29292523860931396	0.2906736433506012	0.2856523096561432	0.2789354920387268	0.2723800241947174	0.2736496031284332	0.28703606128692627
opt-125m/0.self_attn.out_proj	mse	6.639706407440826e-05	6.331307668006048e-05	5.762139699072577e-05	5.3333740652306005e-05	5.170275107957423e-05	5.3483046940527856e-05	5.758899715146981e-05
opt-125m/0.self_attn.q_proj	mse	0.16730298101902008	0.16539165377616882	0.16128258407115936	0.1566459834575653	0.15334142744541168	0.1539951115846634	0.16036568582057953
opt-125m/0.self_attn.v_proj	mse	0.0015216314932331443	0.0015132169937714934	0.001485187211073935	0.001466194516979158	0.0014514472568407655	0.001468702219426632	0.0015395842492580414
opt-125m/1.fc1	mse	0.0024211322888731956	0.0024322725366801023	0.0024224610533565283	0.0024383978452533484	0.0025421343743801117	0.002811084734275937	0.0033484494779258966
opt-125m/1.fc2	mse	0.0012641908833757043	0.0012632219586521387	0.0012632556026801467	0.001262654666788876	0.0012617924949154258	0.0012631404679268599	0.0012668231502175331
opt-125m/1.self_attn.k_proj	mse	0.21967387199401855	0.2064805030822754	0.19243066012859344	0.17802481353282928	0.1669657975435257	0.1658473163843155	0.18156147003173828
opt-125m/1.self_attn.out_proj	mse	3.371672937646508e-05	3.209086207789369e-05	2.9427646950352937e-05	2.7502646844368428e-05	2.760374809440691e-05	3.0496923500322737e-05	3.711584577104077e-05
opt-125m/1.self_attn.q_proj	mse	0.11644049733877182	0.10935899615287781	0.1001063659787178	0.09321558475494385	0.08831232041120529	0.08816182613372803	0.09573641419410706
opt-125m/1.self_attn.v_proj	mse	0.0014639487490057945	0.0012529698433354497	0.0011910222237929702	0.0011556086828932166	0.0011511746561154723	0.0011881262762472034	0.0013048904947936535
opt-125m/10.fc1	mse	0.007985107600688934	0.007955429144203663	0.007891391403973103	0.0077955215238034725	0.007723210845142603	0.007836399599909782	0.008382396772503853
opt-125m/10.fc2	mse	0.0010997969657182693	0.0010996642522513866	0.0010989258298650384	0.00110167998354882	0.001118896179832518	0.0011721668997779489	0.0012972679687663913
opt-125m/10.self_attn.k_proj	mse	0.5465114712715149	0.543994128704071	0.5386891961097717	0.5311358571052551	0.5237933993339539	0.5262776017189026	0.5501709580421448
opt-125m/10.self_attn.out_proj	mse	0.00036917778197675943	0.0003692652389872819	0.0003692062746267766	0.00036916989483870566	0.0003727447765413672	0.0003860643191728741	0.0004220338596496731
opt-125m/10.self_attn.q_proj	mse	0.2681458294391632	0.26619431376457214	0.2626193165779114	0.2581804394721985	0.25426366925239563	0.2560506761074066	0.2704469859600067
opt-125m/10.self_attn.v_proj	mse	0.014282125048339367	0.014253317378461361	0.01415856834501028	0.01397338043898344	0.013953213579952717	0.014239792712032795	0.015100481919944286
opt-125m/11.fc1	mse	0.011632501147687435	0.010877282358705997	0.009973780252039433	0.009451469406485558	0.009310094639658928	0.009542685933411121	0.010383778251707554
opt-125m/11.fc2	mse	0.021608302369713783	0.02160862646996975	0.02161356806755066	0.021543459966778755	0.021374478936195374	0.02118675969541073	0.02110273949801922
opt-125m/11.self_attn.k_proj	mse	0.19989681243896484	0.1996399164199829	0.19910192489624023	0.19794754683971405	0.19677698612213135	0.19925524294376373	0.21194203197956085
opt-125m/11.self_attn.out_proj	mse	0.0010553236352279782	0.0010538446949794888	0.001052778447046876	0.001052715117111802	0.0010636943625286222	0.0011132924119010568	0.0012433654628694057
opt-125m/11.self_attn.q_proj	mse	0.09770664572715759	0.09754876047372818	0.09698875993490219	0.09634643793106079	0.09610102325677872	0.09762421995401382	0.10358009487390518
opt-125m/11.self_attn.v_proj	mse	0.01699172519147396	0.016993189230561256	0.01698911190032959	0.016983553767204285	0.01705111749470234	0.01738918013870716	0.018493784591555595
opt-125m/2.fc1	mse	0.002716251416131854	0.0026378489565104246	0.0025751714129000902	0.0025596520863473415	0.0026288956869393587	0.00282721477560699	0.0033066098112612963
opt-125m/2.fc2	mse	0.009287886321544647	0.009280404075980186	0.00928048137575388	0.009280325844883919	0.009271400980651379	0.009273117408156395	0.009276661090552807
opt-125m/2.self_attn.k_proj	mse	0.5008885860443115	0.49496689438819885	0.4833069145679474	0.4700099527835846	0.4613640010356903	0.4687741696834564	0.5027278065681458
