Data	MSE	Diag	Hessian	OBQAware
bloom-560m/14.self_attention.query_key_value	0.25517669320106506	0.11532174795866013	0.11635907739400864	0.10360582917928696
bloom-560m/15.mlp.dense_4h_to_h	0.002470885869115591	0.002472414169460535	0.002573493169620633	0.0024531674571335316
bloom-560m/15.mlp.dense_h_to_4h	0.038118720054626465	0.039265409111976624	0.0396527498960495	0.03688117116689682
bloom-560m/15.self_attention.dense	0.0008385280962102115	0.0008375964825972915	0.0008650260861031711	0.0008122364524751902
bloom-560m/15.self_attention.query_key_value	0.2299180030822754	0.11130016297101974	0.11290552467107773	0.10106924176216125
bloom-560m/16.mlp.dense_4h_to_h	0.0027578393928706646	0.0027576168067753315	0.002881546039134264	0.0027373097836971283
bloom-560m/16.mlp.dense_h_to_4h	0.038773730397224426	0.03963588923215866	0.04005727171897888	0.03709689527750015
bloom-560m/16.self_attention.dense	0.0008917556842789054	0.0008940941770561039	0.0009113240521401167	0.0008705058135092258
bloom-560m/16.self_attention.query_key_value	0.2511124610900879	0.12125801295042038	0.12297303229570389	0.11022073775529861
bloom-560m/17.mlp.dense_4h_to_h	0.003213693853467703	0.0032124891877174377	0.0033496494870632887	0.003189578652381897
bloom-560m/17.mlp.dense_h_to_4h	0.03819442540407181	0.03962823748588562	0.03999335691332817	0.03695058822631836
bloom-560m/17.self_attention.dense	0.0009093243861570954	0.0009327730513177812	0.0009449615026824176	0.0008801411604508758
bloom-560m/17.self_attention.query_key_value	0.1803562045097351	0.09763070195913315	0.09793571382761002	0.08851861953735352
bloom-560m/18.mlp.dense_4h_to_h	0.003782975487411022	0.0037872465327382088	0.003957165405154228	0.0037543133366853
bloom-560m/18.mlp.dense_h_to_4h	0.039655208587646484	0.04115898907184601	0.04168172925710678	0.038252100348472595
bloom-560m/18.self_attention.dense	0.0012098209699615836	0.0012312534963712096	0.0012571237748488784	0.0011754296720027924
bloom-560m/18.self_attention.query_key_value	0.23965154588222504	0.10311118513345718	0.10541319847106934	0.09404488652944565
bloom-560m/19.mlp.dense_4h_to_h	0.00454694963991642	0.004574268124997616	0.004825452342629433	0.004502412863075733
bloom-560m/19.mlp.dense_h_to_4h	0.04104405641555786	0.042474862188100815	0.04310738667845726	0.03965117782354355
bloom-560m/19.self_attention.dense	0.0015016066608950496	0.0015575983561575413	0.001583772711455822	0.0014698663726449013
bloom-560m/19.self_attention.query_key_value	0.2895565330982208	0.10732432454824448	0.11081748455762863	0.09882932901382446
bloom-560m/2.mlp.dense_4h_to_h	0.0015102368779480457	0.001509015099145472	0.0015720328083261847	0.0014943141723051667
bloom-560m/2.mlp.dense_h_to_4h	0.03217441961169243	0.03265884518623352	0.033514924347400665	0.030744243413209915
bloom-560m/2.self_attention.dense	0.00026019307551905513	0.0002516407403163612	0.0002509159967303276	0.00022760390129406005
bloom-560m/2.self_attention.query_key_value	0.033284056931734085	0.033108051866292953	0.033722665160894394	0.03182850778102875
bloom-560m/20.mlp.dense_4h_to_h	0.006821528077125549	0.006654968019574881	0.007066951133310795	0.006302637048065662
bloom-560m/20.mlp.dense_h_to_4h	0.04212437942624092	0.04362967610359192	0.04440077766776085	0.040522269904613495
bloom-560m/20.self_attention.dense	0.002684745006263256	0.002730423118919134	0.0028038262389600277	0.0024612334091216326
bloom-560m/20.self_attention.query_key_value	0.35412564873695374	0.1154143214225769	0.12016189098358154	0.10562485456466675
bloom-560m/21.mlp.dense_4h_to_h	0.018368028104305267	0.01657838374376297	0.020281964913010597	0.013325270265340805
bloom-560m/21.mlp.dense_h_to_4h	0.04244152456521988	0.045100536197423935	0.04551434516906738	0.04047837480902672
bloom-560m/21.self_attention.dense	0.017967741936445236	0.011407474987208843	0.009592829272150993	0.007120023015886545
bloom-560m/21.self_attention.query_key_value	0.40740683674812317	0.13190396130084991	0.1380629688501358	0.12121038883924484
bloom-560m/22.mlp.dense_4h_to_h	0.01953265815973282	0.01975630223751068	0.018210435286164284	0.015358000993728638
bloom-560m/22.mlp.dense_h_to_4h	0.04850757494568825	0.0568210706114769	0.05247708410024643	0.03877764195203781
bloom-560m/22.self_attention.dense	0.036987513303756714	0.014905935153365135	0.011643717996776104	0.009436696767807007
bloom-560m/22.self_attention.query_key_value	0.4179832935333252	0.11107010394334793	0.12650634348392487	0.09431812167167664
bloom-560m/23.mlp.dense_4h_to_h	0.012611736543476582	0.00895262137055397	0.008577294647693634	0.006624783389270306
bloom-560m/23.mlp.dense_h_to_4h	0.10675075650215149	0.05221111327409744	0.04461194947361946	0.03195957839488983
bloom-560m/23.self_attention.dense	0.003782254410907626	0.0037362659350037575	0.003197767771780491	0.0023139966651797295
bloom-560m/23.self_attention.query_key_value	0.03514992818236351	0.03854447975754738	0.03867862746119499	0.03148148953914642
bloom-560m/3.mlp.dense_4h_to_h	0.0021898287814110518	0.0021558436565101147	0.0022479286417365074	0.002106493804603815
bloom-560m/3.mlp.dense_h_to_4h	0.03467956930398941	0.03528575599193573	0.03603685647249222	0.03333223983645439
bloom-560m/3.self_attention.dense	0.0007205157307907939	0.0005134487873874605	0.0004235908854752779	0.00039183825720101595
bloom-560m/3.self_attention.query_key_value	0.034508589655160904	0.03415796160697937	0.034823108464479446	0.032895129173994064
bloom-560m/4.mlp.dense_4h_to_h	0.05996173620223999	0.029186230152845383	0.015249032527208328	0.008820007555186749
bloom-560m/4.mlp.dense_h_to_4h	0.031725428998470306	0.03232591226696968	0.033137332648038864	0.03046412207186222
bloom-560m/4.self_attention.dense	0.0006233520107343793	0.0004893505247309804	0.0004883870715275407	0.0004568550502881408
bloom-560m/4.self_attention.query_key_value	0.03545708581805229	0.0341934897005558	0.035154011100530624	0.032739851623773575
bloom-560m/5.mlp.dense_4h_to_h	0.002778640715405345	0.002751280553638935	0.0028308723121881485	0.0027187298983335495
bloom-560m/5.mlp.dense_h_to_4h	0.02582329511642456	0.026278860867023468	0.026797126978635788	0.02439507655799389
bloom-560m/5.self_attention.dense	0.0007400190224871039	0.0005856506759300828	0.0006122407503426075	0.0005572742666117847
bloom-560m/5.self_attention.query_key_value	0.04267344996333122	0.04063062742352486	0.0413590744137764	0.03695543482899666
bloom-560m/6.mlp.dense_4h_to_h	0.002619723090901971	0.0026234204415231943	0.002695845440030098	0.002497646724805236
bloom-560m/6.mlp.dense_h_to_4h	0.03083765134215355	0.03199799358844757	0.03222227841615677	0.02920309454202652
bloom-560m/6.self_attention.dense	0.0008498675306327641	0.0008777965558692813	0.0009253777679987252	0.0008189375512301922
