Data	Standard1-bit	Standard1.5-bit	Standard2-bit	Standard2.3-bit	Standard2.8-bit	Standard3-bit	Standard3.2-bit	Standard3.9-bit	Standard4-bit	Standard5-bit	SleekitLight1-bit	SleekitLight1.5-bit	SleekitLight2-bit	SleekitLight2.3-bit	SleekitLight2.8-bit	SleekitLight3-bit	SleekitLight3.2-bit	SleekitLight3.9-bit	SleekitLight4-bit	SleekitLight5-bit
bloom-560m/14.mlp.dense_4h_to_h	0.007079045753926039	0.003653579391539097	0.002317927312105894	0.001634993590414524	0.0009726426796987653	0.0007918868213891983	0.0006619052146561444	0.00030653487192466855	0.0002781930670607835	9.940373274730518e-05	0.006687581539154053	0.003499438986182213	0.0022217961959540844	0.0015653235604986548	0.0009284461848437786	0.0007536775665357709	0.0006297236541286111	0.0002893001656048	0.00026224099565297365	9.172269346890971e-05
bloom-560m/14.mlp.dense_h_to_4h	0.13610762357711792	0.06219220533967018	0.03732641041278839	0.025361256673932076	0.0142893735319376	0.011389159597456455	0.009343217127025127	0.003928488120436668	0.0035094188060611486	0.0010473504662513733	0.1267513632774353	0.06032644212245941	0.036548394709825516	0.024997763335704803	0.01416062843054533	0.01130896806716919	0.009269092231988907	0.0038943912368267775	0.0034867646172642708	0.0010394322453066707
bloom-560m/14.self_attention.dense	0.0025919838808476925	0.00127249991055578	0.0007888915133662522	0.0005482069682329893	0.0003162252833135426	0.00025403618928976357	0.0002095219970215112	9.02553292689845e-05	8.087221794994548e-05	2.5001803805935197e-05	0.0025394116528332233	0.0012581738410517573	0.0007812079275026917	0.0005414464394561946	0.000312495743855834	0.0002503777213860303	0.00020655762637034059	8.878974040271714e-05	7.96367967268452e-05	2.4672575818840414e-05
bloom-560m/14.self_attention.query_key_value	0.5733640789985657	0.3421773612499237	0.25517669320106506	0.2046385407447815	0.15081769227981567	0.13225363194942474	0.11520767956972122	0.04183046519756317	0.035118285566568375	0.004880310036242008	0.4038452208042145	0.17980360984802246	0.09977203607559204	0.08250297605991364	0.04727881774306297	0.03710194304585457	0.03041851706802845	0.01194977480918169	0.01060305442661047	0.0028220678213983774
bloom-560m/15.mlp.dense_4h_to_h	0.007559134159237146	0.0038867397233843803	0.002470885869115591	0.0017442407552152872	0.0010381967294961214	0.0008473030757158995	0.0007080651703290641	0.0003287360887043178	0.00029876825283281505	0.00010574058251222596	0.007160317152738571	0.003749149153009057	0.0023870535660535097	0.0016828146763145924	0.0010003449860960245	0.0008166935294866562	0.0006826380267739296	0.00031681792461313307	0.0002877205261029303	9.989505633711815e-05
bloom-560m/15.mlp.dense_h_to_4h	0.13920508325099945	0.06355299055576324	0.038118720054626465	0.02593938261270523	0.01463575940579176	0.011663180775940418	0.009556081146001816	0.004031110554933548	0.0036103094462305307	0.0010796721326187253	0.12888024747371674	0.06158431991934776	0.037385836243629456	0.02561047300696373	0.014535469003021717	0.011585989966988564	0.00951196625828743	0.003999833483248949	0.003585394937545061	0.0010709462221711874
bloom-560m/15.self_attention.dense	0.0025897743180394173	0.0013194348430261016	0.0008385280962102115	0.0005868035368621349	0.0003437329432927072	0.0002804839750751853	0.0002306525711901486	0.00010168211883865297	9.238222992280498e-05	2.907829184550792e-05	0.002512481063604355	0.00129021261818707	0.0008156963158398867	0.0005713013815693557	0.0003336809459142387	0.000270297285169363	0.00022314779926091433	9.789932664716616e-05	8.857132343109697e-05	2.7835458240588196e-05
bloom-560m/15.self_attention.query_key_value	0.5737773180007935	0.3198799192905426	0.2299180030822754	0.18029268085956573	0.12701217830181122	0.11158081144094467	0.0954585149884224	0.03611067309975624	0.030002035200595856	0.004212578758597374	0.39358511567115784	0.17607951164245605	0.1005868911743164	0.07918328046798706	0.044957682490348816	0.035593871027231216	0.02902633510529995	0.01142974104732275	0.010161185637116432	0.00274716061539948
bloom-560m/16.mlp.dense_4h_to_h	0.008406012319028378	0.004345810040831566	0.0027578393928706646	0.0019433335401117802	0.0011569076450541615	0.0009451528312638402	0.0007900265045464039	0.0003682921815197915	0.00033527673804201186	0.00012113874254282564	0.008031988516449928	0.004193589091300964	0.00266564404591918	0.0018771179020404816	0.001115953316912055	0.0009097401052713394	0.0007591653265990317	0.0003501026367302984	0.00031879512243904173	0.00011154808453284204
bloom-560m/16.mlp.dense_h_to_4h	0.13867543637752533	0.0634673610329628	0.038773730397224426	0.02606608346104622	0.014743195846676826	0.01208627037703991	0.009663521312177181	0.004080762155354023	0.0037281541153788567	0.0011002535466104746	0.13029469549655914	0.061770763248205185	0.037819068878889084	0.02562827616930008	0.014502642676234245	0.011696076020598412	0.009494055993855	0.004004189278930426	0.003609355306252837	0.0010794192785397172
bloom-560m/16.self_attention.dense	0.0028220252133905888	0.0014243246987462044	0.0008917556842789054	0.0006221684743650258	0.00036262284265831113	0.00029203202575445175	0.00024222159117925912	0.00010532818851061165	9.489650256000459e-05	2.947642860817723e-05	0.0027774886693805456	0.001396194682456553	0.0008729498367756605	0.0006082633626647294	0.0003532726550474763	0.00028401389135979116	0.00023493985645473003	0.00010200678661931306	9.168767428491265e-05	2.842106368916575e-05
bloom-560m/16.self_attention.query_key_value	0.6062650084495544	0.34386172890663147	0.2511124610900879	0.19839555025100708	0.14430265128612518	0.12712357938289642	0.11214607954025269	0.047664184123277664	0.04037134349346161	0.005604855250567198	0.4328041970729828	0.1918327361345291	0.10933959484100342	0.08517877012491226	0.04757392406463623	0.037506137043237686	0.030462855473160744	0.011955172754824162	0.010611479170620441	0.0028597526252269745
bloom-560m/17.mlp.dense_4h_to_h	0.009731301106512547	0.00503904651850462	0.003213693853467703	0.0022841081954538822	0.0013757464475929737	0.001126810908317566	0.0009487868519499898	0.0004506284894887358	0.0004099591460544616	0.00015177353634499013	0.009266069158911705	0.00485439645126462	0.0030960002914071083	0.002190719824284315	0.0013097150949761271	0.0010701167630031705	0.0008952893549576402	0.0004170116735622287	0.00037880748277530074	0.00013456672604661435
bloom-560m/17.mlp.dense_h_to_4h	0.1402624100446701	0.06369562447071075	0.03819442540407181	0.025983791798353195	0.014632061123847961	0.011672676540911198	0.009575515985488892	0.004030230455100536	0.0036151153035461903	0.0010832635452970862	0.1308886706829071	0.06194402277469635	0.03753271698951721	0.02570548839867115	0.014599969610571861	0.011648495681583881	0.009564338251948357	0.00403328612446785	0.0036122421734035015	0.0010805504862219095
bloom-560m/17.self_attention.dense	0.003020037431269884	0.001456530881114304	0.0009093243861570954	0.0006301827961578965	0.0003639716887846589	0.0002940259000752121	0.0002439493255224079	0.00010707500041462481	9.677136404206976e-05	3.0878731195116416e-05	0.002844851464033127	0.0014078698586672544	0.0008789933635853231	0.000613408861681819	0.00035549880703911185	0.0002865502319764346	0.00023697003780398518	0.00010369994561187923	9.349659376312047e-05	2.9821088901371695e-05
bloom-560m/17.self_attention.query_key_value	0.4986930787563324	0.26001641154289246	0.1803562045097351	0.13682015240192413	0.09296705573797226	0.07999756187200546	0.06934154778718948	0.027693085372447968	0.023089393973350525	0.0035552296321839094	0.35357344150543213	0.1622919887304306	0.09104696661233902	0.0677197277545929	0.0377468504011631	0.029976530000567436	0.024208595976233482	0.009567029774188995	0.00849936529994011	0.0023264854680746794
bloom-560m/18.mlp.dense_4h_to_h	0.01138556282967329	0.005903264973312616	0.003782975487411022	0.0026953869964927435	0.001638075103983283	0.0013478444889187813	0.0011363187804818153	0.0005468701710924506	0.000500207650475204	0.00018629530677571893	0.010924827307462692	0.0057180519215762615	0.0036549062933772802	0.0026019085198640823	0.0015702086966484785	0.0012887674383819103	0.0010839798487722874	0.0005142220761626959	0.0004684536252170801	0.00016837086877785623
bloom-560m/18.mlp.dense_h_to_4h	0.14633186161518097	0.06605956703424454	0.039655208587646484	0.02698493003845215	0.015272298827767372	0.01217606384307146	0.009997553192079067	0.00424147117882967	0.003789350623264909	0.0011442049872130156	0.13507378101348877	0.06429339200258255	0.038874655961990356	0.026688529178500175	0.015210116282105446	0.012100445106625557	0.009983206167817116	0.004225683398544788	0.003788543166592717	0.0011354814050719142
bloom-560m/18.self_attention.dense	0.0038609893526881933	0.0018864498706534505	0.0012098209699615836	0.0008360312785953283	0.0004920826759189367	0.0004017723840661347	0.0003308247250970453	0.00014656380517408252	0.00013178164954297245	4.1915682231774554e-05	0.0036359629593789577	0.0018431134521961212	0.0011858218349516392	0.0008267092052847147	0.0004934229073114693	0.0003985098155681044	0.00033066896139644086	0.00014398302300833166	0.0001300724979955703	4.083311796421185e-05
bloom-560m/18.self_attention.query_key_value	1.0194147825241089	0.3985779583454132	0.23965154588222504	0.17101754248142242	0.11139023303985596	0.10017100721597672	0.08278775960206985	0.03636205568909645	0.03122917003929615	0.004241540562361479	0.3896506726741791	0.16103918850421906	0.09489694982767105	0.06638949364423752	0.03686467185616493	0.029462357982993126	0.02358917146921158	0.009499224834144115	0.008485991507768631	0.0023496097419410944
bloom-560m/19.mlp.dense_4h_to_h	0.013706400990486145	0.007059680763632059	0.00454694963991642	0.003248446388170123	0.0019883294589817524	0.0016422682674601674	0.0013848086819052696	0.0006712521426379681	0.0006167192477732897	0.00023645319743081927	0.013059751130640507	0.006811995059251785	0.004392912611365318	0.0031466318760067225	0.001923584844917059	0.0015850047348067164	0.0013359873555600643	0.0006385125452652574	0.0005837841308675706	0.0002086593594867736
bloom-560m/19.mlp.dense_h_to_4h	0.1513909101486206	0.06839711964130402	0.04104405641555786	0.02793101966381073	0.015793083235621452	0.012608937919139862	0.010354166850447655	0.004370435141026974	0.0039193108677864075	0.0011780413333326578	0.13938668370246887	0.06646457314491272	0.04034769907593727	0.027683386579155922	0.01576463133096695	0.012595582753419876	0.010366227477788925	0.004389406181871891	0.003936207387596369	0.0011816322803497314
bloom-560m/19.self_attention.dense	0.004893177188932896	0.0023871944285929203	0.0015016066608950496	0.001048427540808916	0.0006130777182988822	0.0004949178546667099	0.0004109672736376524	0.0001813421695260331	0.00016328765195794404	5.12467413500417e-05	0.004733376204967499	0.0023252456448972225	0.0014664275804534554	0.0010241507552564144	0.00060034089256078	0.00048371637240052223	0.00040292792255058885	0.00017719878815114498	0.00016028140089474618	5.0346276111667976e-05
bloom-560m/19.self_attention.query_key_value	0.6905387043952942	0.39658379554748535	0.2895565330982208	0.22965891659259796	0.16307690739631653	0.14163975417613983	0.12457863241434097	0.04763728752732277	0.03812927380204201	0.004878852982074022	0.42353585362434387	0.16968350112438202	0.10301432758569717	0.07374266535043716	0.04160438850522041	0.033398669213056564	0.026832714676856995	0.010702405124902725	0.009532242082059383	0.0026176024693995714
bloom-560m/2.mlp.dense_4h_to_h	0.004934975411742926	0.002397372853010893	0.0015102368779480457	0.0010585071286186576	0.0006300222012214363	0.0005139182321727276	0.0004292173543944955	0.00020057123037986457	0.00018235757306683809	6.644621316809207e-05	0.004579361993819475	0.0023076049983501434	0.0014487812295556068	0.0010184866841882467	0.0006015418912284076	0.0004894459852948785	0.0004082852974534035	0.0001876592286862433	0.00017046259017661214	5.989087367197499e-05
bloom-560m/2.mlp.dense_h_to_4h	0.13566648960113525	0.055499494075775146	0.03217441961169243	0.021548911929130554	0.011963039636611938	0.00950334407389164	0.007757693529129028	0.0032338262535631657	0.0028950260020792484	0.0008647980866953731	0.11620612442493439	0.05302203446626663	0.03131348639726639	0.021253040060400963	0.011926407925784588	0.009499710984528065	0.007776259444653988	0.0032425536774098873	0.0029022530652582645	0.0008633024990558624
bloom-560m/2.self_attention.dense	0.0011085168225690722	0.00042243144707754254	0.00026019307551905513	0.00016339316789526492	9.1792200691998e-05	7.322985038626939e-05	5.9510788560146466e-05	2.5549665224389173e-05	2.3014617909211665e-05	7.279650617419975e-06	0.0009376673842780292	0.00037221427191980183	0.0002451605978421867	0.00015224161325022578	8.830067963572219e-05	7.248274050652981e-05	5.959649570286274e-05	2.6020679797511548e-05	2.3429427528753877e-05	7.3651253842399456e-06
bloom-560m/2.self_attention.query_key_value	0.12719334661960602	0.056488391011953354	0.033284056931734085	0.02241157554090023	0.012491810135543346	0.009953562170267105	0.008149814791977406	0.00341040943749249	0.003053661435842514	0.0009167112875729799	0.12289849668741226	0.0550592802464962	0.032671600580215454	0.022108638659119606	0.012421581894159317	0.009910739958286285	0.00812626164406538	0.003423574147745967	0.003062428208068013	0.0009188110125251114
