Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
opt-125m/11.self_attn.v_proj	mse	0.016993990167975426	0.016330206766724586	0.015738826245069504
opt-125m/2.fc1	mse	0.002769242040812969	0.00242194184102118	0.0022828541696071625
opt-125m/2.fc2	mse	0.009287604130804539	0.009260023944079876	0.009252521209418774
opt-125m/2.self_attn.k_proj	mse	0.5078817009925842	0.4796266555786133	0.4455592632293701
opt-125m/2.self_attn.out_proj	mse	1.847894054662902e-05	1.7799899069359526e-05	1.7133477740571834e-05
opt-125m/2.self_attn.q_proj	mse	0.5358218550682068	0.506897509098053	0.47285160422325134
opt-125m/2.self_attn.v_proj	mse	0.00287358439527452	0.0026204166933894157	0.0022986573167145252
opt-125m/3.fc1	mse	0.0020522279664874077	0.0018110295059159398	0.0016926502576097846
opt-125m/3.fc2	mse	0.0006132512935437262	0.0006087781512178481	0.0006069003138691187
opt-125m/3.self_attn.k_proj	mse	1.336255431175232	1.264329433441162	1.181395411491394
opt-125m/3.self_attn.out_proj	mse	2.1757934518973343e-05	2.0886114725726657e-05	2.0147401301073842e-05
opt-125m/3.self_attn.q_proj	mse	1.1575790643692017	1.0726470947265625	0.9915984272956848
opt-125m/3.self_attn.v_proj	mse	0.006960590835660696	0.00558639457449317	0.004469655454158783
opt-125m/4.fc1	mse	0.0033901638817042112	0.0028337445110082626	0.0026557687669992447
opt-125m/4.fc2	mse	0.000703166238963604	0.0006959012243896723	0.0006928914808668196
opt-125m/4.self_attn.k_proj	mse	1.6145892143249512	1.5156927108764648	1.400488257408142
opt-125m/4.self_attn.out_proj	mse	3.067021316383034e-05	2.9490969609469175e-05	2.8413218387868255e-05
opt-125m/4.self_attn.q_proj	mse	1.0042328834533691	0.9142742156982422	0.81998211145401
opt-125m/4.self_attn.v_proj	mse	0.007699370384216309	0.006836388260126114	0.00569269759580493
opt-125m/5.fc1	mse	0.0028373331297188997	0.0025008113589137793	0.0023471948225051165
opt-125m/5.fc2	mse	0.00018968917720485479	0.00018766468565445393	0.0001846868690336123
opt-125m/5.self_attn.k_proj	mse	1.540079116821289	1.423203468322754	1.3101093769073486
opt-125m/5.self_attn.out_proj	mse	5.3076091717230156e-05	5.119583511259407e-05	4.955796975991689e-05
opt-125m/5.self_attn.q_proj	mse	0.980219304561615	0.8823501467704773	0.7924534678459167
opt-125m/5.self_attn.v_proj	mse	0.007317771669477224	0.006731424480676651	0.005747323855757713
opt-125m/6.fc1	mse	0.0030236172024160624	0.0025460475590080023	0.0023784462828189135
opt-125m/6.fc2	mse	0.00024045944155659527	0.00023713154951110482	0.0002325620735064149
opt-125m/6.self_attn.k_proj	mse	1.4626156091690063	1.3528715372085571	1.245318055152893
opt-125m/6.self_attn.out_proj	mse	7.222460408229381e-05	6.943981134099886e-05	6.691346789011732e-05
opt-125m/6.self_attn.q_proj	mse	0.8024868965148926	0.7248215079307556	0.6473763585090637
opt-125m/6.self_attn.v_proj	mse	0.009501916356384754	0.008798015303909779	0.00761739956215024
opt-125m/7.fc1	mse	0.0035136116202920675	0.0032377876341342926	0.0030560444574803114
opt-125m/7.fc2	mse	0.0002903497370425612	0.00028641975950449705	0.00028043563361279666
opt-125m/7.self_attn.k_proj	mse	0.9715248942375183	0.9288370609283447	0.8745320439338684
opt-125m/7.self_attn.out_proj	mse	0.00011339102638885379	0.00010932053555734456	0.00010629036114551127
opt-125m/7.self_attn.q_proj	mse	0.46769022941589355	0.4364899694919586	0.39927077293395996
opt-125m/7.self_attn.v_proj	mse	0.009439210407435894	0.008845780976116657	0.008179823867976665
opt-125m/8.fc1	mse	0.0047780596651136875	0.004445250611752272	0.004224350210279226
opt-125m/8.fc2	mse	0.0004622314590960741	0.0004544808471109718	0.00044252831139601767
opt-125m/8.self_attn.k_proj	mse	0.8243080973625183	0.7835283875465393	0.7388535141944885
opt-125m/8.self_attn.out_proj	mse	0.00018395711958874017	0.00017696760187391192	0.00017074559582397342
opt-125m/8.self_attn.q_proj	mse	0.377849817276001	0.3519802987575531	0.32044193148612976
opt-125m/8.self_attn.v_proj	mse	0.011058825068175793	0.010394697077572346	0.009634241461753845
opt-125m/9.fc1	mse	0.006158422213047743	0.00579787977039814	0.0055460561998188496
opt-125m/9.fc2	mse	0.0006916523561812937	0.0006734036724083126	0.0006501577445305884
opt-125m/9.self_attn.k_proj	mse	0.5329956412315369	0.5007331371307373	0.47575560212135315
opt-125m/9.self_attn.out_proj	mse	0.00031429596128873527	0.0003012919332832098	0.00029105087742209435
opt-125m/9.self_attn.q_proj	mse	0.21879033744335175	0.20188887417316437	0.18792526423931122
opt-125m/9.self_attn.v_proj	mse	0.012319413013756275	0.011709240265190601	0.011022500693798065
opt-350m/0.fc1	mse	0.04823143407702446	0.04117349162697792	0.023341314867138863
opt-350m/0.fc2	mse	0.0015602068742737174	0.001522775273770094	0.0014363510999828577
opt-350m/0.self_attn.k_proj	mse	0.0061619579792022705	0.0049375551752746105	0.002729099942371249
opt-350m/0.self_attn.out_proj	mse	7.402996970995446e-08	5.998232666115655e-08	4.9263356061146624e-08
opt-350m/0.self_attn.q_proj	mse	0.005856068339198828	0.004785578232258558	0.0024318494834005833
opt-350m/0.self_attn.v_proj	mse	2.7860773116117343e-05	2.3578897526022047e-05	1.3289729395182803e-05
opt-350m/1.fc1	mse	0.03740619122982025	0.03318464756011963	0.02482614852488041
opt-350m/1.fc2	mse	0.0031482959166169167	0.0030881823040544987	0.0029292942490428686
opt-350m/1.self_attn.k_proj	mse	0.04711940512061119	0.03998082876205444	0.026264535263180733
opt-350m/1.self_attn.out_proj	mse	0.0004992138710804284	0.00047944518155418336	0.000462487485492602
opt-350m/1.self_attn.q_proj	mse	0.036378368735313416	0.031214984133839607	0.02221570909023285
opt-350m/1.self_attn.v_proj	mse	0.01751268282532692	0.015338260680437088	0.010722066275775433
opt-350m/10.fc1	mse	0.055714499205350876	0.05259014293551445	0.04767725616693497
opt-350m/10.fc2	mse	0.006987246684730053	0.006798302289098501	0.006369680631905794
opt-350m/10.self_attn.k_proj	mse	0.07991756498813629	0.07499182969331741	0.06709783524274826
opt-350m/10.self_attn.out_proj	mse	0.003015934955328703	0.002909537870436907	0.002805018797516823
opt-350m/10.self_attn.q_proj	mse	0.07895544171333313	0.07423874735832214	0.06673268228769302
opt-350m/10.self_attn.v_proj	mse	0.04046085104346275	0.038079097867012024	0.03392514958977699
opt-350m/11.fc1	mse	0.05766424536705017	0.05448435992002487	0.049454204738140106
