Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/21.mlp.dense_h_to_4h	0.07193716615438461	0.06810520589351654	0.07454982399940491	0.06835627555847168	0.05893433094024658
bloom-560m/21.self_attention.dense	0.016748297959566116	0.010439527221024036	0.012638412415981293	0.009633325040340424	0.008057516068220139
bloom-560m/21.self_attention.query_key_value	0.5451880097389221	0.3727026879787445	0.2044605016708374	0.18854276835918427	0.16180138289928436
bloom-560m/22.mlp.dense_4h_to_h	0.021544676274061203	0.02122882753610611	0.02359105460345745	0.02223656326532364	0.019790999591350555
bloom-560m/22.mlp.dense_h_to_4h	0.08813846111297607	0.06508109718561172	0.08041493594646454	0.06518720090389252	0.05561744049191475
bloom-560m/22.self_attention.dense	0.019615773111581802	0.011212341487407684	0.015132887288928032	0.010996844619512558	0.007658623158931732
bloom-560m/22.self_attention.query_key_value	1.0410451889038086	0.29074177145957947	0.17544840276241302	0.15829935669898987	0.13679516315460205
bloom-560m/23.mlp.dense_4h_to_h	0.015021918341517448	0.014381293207406998	0.008216319605708122	0.008051730692386627	0.006971113383769989
bloom-560m/23.mlp.dense_h_to_4h	0.08830858021974564	0.05474598705768585	0.07163724303245544	0.052844226360321045	0.04525960236787796
bloom-560m/23.self_attention.dense	0.0024780449457466602	0.0024433741346001625	0.0023923180997371674	0.0023724189959466457	0.0016821202589198947
bloom-560m/23.self_attention.query_key_value	0.0631352886557579	0.05397007241845131	0.06118612363934517	0.05235092714428902	0.045508090406656265
bloom-560m/3.mlp.dense_4h_to_h	0.003079640679061413	0.0030364503618329763	0.0030973656103014946	0.002934570424258709	0.002756227273494005
bloom-560m/3.mlp.dense_h_to_4h	0.05885740742087364	0.056758519262075424	0.05998345836997032	0.05684845149517059	0.04800309240818024
bloom-560m/3.self_attention.dense	0.0008168684435077012	0.0007567220600321889	0.0005879076197743416	0.0005808056448586285	0.0005301968194544315
bloom-560m/3.self_attention.query_key_value	0.05831839516758919	0.057778116315603256	0.05747664347290993	0.0568167082965374	0.048126284033060074
bloom-560m/4.mlp.dense_4h_to_h	0.004160132724791765	0.004053398966789246	0.003490041010081768	0.0032459974754601717	0.003056122222915292
bloom-560m/4.mlp.dense_h_to_4h	0.05344090983271599	0.051728539168834686	0.054999880492687225	0.05197528749704361	0.043594203889369965
bloom-560m/4.self_attention.dense	0.0007545297266915441	0.0007285021129064262	0.0007458638865500689	0.0007385321659967303	0.0006598446052521467
bloom-560m/4.self_attention.query_key_value	0.06007242202758789	0.05834263563156128	0.05810447409749031	0.05647854134440422	0.04778378829360008
bloom-560m/5.mlp.dense_4h_to_h	0.00283998204395175	0.0027857921086251736	0.002841788809746504	0.002695582341402769	0.002586056012660265
bloom-560m/5.mlp.dense_h_to_4h	0.04326048865914345	0.04173371568322182	0.044639553874731064	0.04212740808725357	0.03474900871515274
