Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/19.mlp.dense_h_to_4h	0.15843412280082703	0.04167206585407257	0.04301905259490013	0.043641284108161926	0.03999808430671692
bloom-560m/19.self_attention.dense	0.008192585781216621	0.0015020412392914295	0.0015591480769217014	0.001585325924679637	0.0014704716159030795
bloom-560m/19.self_attention.query_key_value	0.3063706159591675	0.29064616560935974	0.11983281373977661	0.12614837288856506	0.10556771606206894
bloom-560m/2.mlp.dense_4h_to_h	0.01833106204867363	0.0015162182971835136	0.0015136066358536482	0.0015768244629725814	0.0014976834645494819
bloom-560m/2.mlp.dense_h_to_4h	0.11892973631620407	0.032376836985349655	0.032785773277282715	0.03358711674809456	0.030828896909952164
bloom-560m/2.self_attention.dense	0.0012126045767217875	0.00026617987896315753	0.0002556410327088088	0.00025129731511697173	0.00022823637118563056
bloom-560m/2.self_attention.query_key_value	0.12424919754266739	0.03380662947893143	0.03354131057858467	0.03416559845209122	0.03218532353639603
bloom-560m/20.mlp.dense_4h_to_h	0.1259603500366211	0.007117589004337788	0.006705048028379679	0.007123494055122137	0.006380637176334858
bloom-560m/20.mlp.dense_h_to_4h	0.16451814770698547	0.042985670268535614	0.04432392865419388	0.04502151161432266	0.0409432053565979
bloom-560m/20.self_attention.dense	0.01817910373210907	0.002696048468351364	0.0027388061862438917	0.0028100847266614437	0.0024668725673109293
bloom-560m/20.self_attention.query_key_value	0.33049213886260986	0.34933748841285706	0.1418481469154358	0.14985208213329315	0.11480440944433212
bloom-560m/21.mlp.dense_4h_to_h	0.2786841094493866	0.020175164565443993	0.016798235476017	0.02046096883714199	0.013530559837818146
bloom-560m/21.mlp.dense_h_to_4h	0.1740398406982422	0.04618309810757637	0.04779363423585892	0.048698242753744125	0.04234188050031662
bloom-560m/21.self_attention.dense	0.04119369015097618	0.018475698307156563	0.011492081917822361	0.009595544077455997	0.007106964010745287
bloom-560m/21.self_attention.query_key_value	0.3923947811126709	0.39676856994628906	0.17510183155536652	0.1786937117576599	0.13230669498443604
bloom-560m/22.mlp.dense_4h_to_h	0.2611786723136902	0.020789746195077896	0.0201515331864357	0.01879921555519104	0.015822315588593483
bloom-560m/22.mlp.dense_h_to_4h	0.1778872013092041	0.05132994055747986	0.05749338120222092	0.053228236734867096	0.03934359550476074
bloom-560m/22.self_attention.dense	0.05015968531370163	0.04051538556814194	0.015253232792019844	0.011891943402588367	0.009667299687862396
bloom-560m/22.self_attention.query_key_value	0.5351504683494568	0.5208064317703247	0.19916945695877075	0.21092140674591064	0.12004613876342773
bloom-560m/23.mlp.dense_4h_to_h	0.11925922334194183	0.01490714680403471	0.010638394393026829	0.010731528513133526	0.007789812982082367
bloom-560m/23.mlp.dense_h_to_4h	0.13374897837638855	0.12100633233785629	0.05282551795244217	0.04508586972951889	0.03240090608596802
bloom-560m/23.self_attention.dense	0.010748873464763165	0.0038917125202715397	0.0038106562569737434	0.003260275349020958	0.0023466418497264385
bloom-560m/23.self_attention.query_key_value	0.13595904409885406	0.03782173618674278	0.03946807608008385	0.03954395279288292	0.03220517560839653
bloom-560m/3.mlp.dense_4h_to_h	0.025187671184539795	0.002200101502239704	0.002166814636439085	0.002258695662021637	0.002116010058671236
bloom-560m/3.mlp.dense_h_to_4h	0.12578725814819336	0.03550203517079353	0.03579752892255783	0.03657975792884827	0.03377967327833176
bloom-560m/3.self_attention.dense	0.001744306879118085	0.0007476705359295011	0.0005433021578937769	0.00043093226850032806	0.0003932099207304418
bloom-560m/3.self_attention.query_key_value	0.12910176813602448	0.0355270616710186	0.03506559506058693	0.03569497540593147	0.03356831893324852
bloom-560m/4.mlp.dense_4h_to_h	0.03362584486603737	0.06200293079018593	0.032013069838285446	0.016530880704522133	0.009121622890233994
bloom-560m/4.mlp.dense_h_to_4h	0.11444450914859772	0.033416926860809326	0.03341923654079437	0.03419162705540657	0.03131958097219467
bloom-560m/4.self_attention.dense	0.0021351720206439495	0.0006957039004191756	0.0005126423202455044	0.0004947630222886801	0.0004631663323380053
bloom-560m/4.self_attention.query_key_value	0.12864957749843597	0.03709142655134201	0.035611871629953384	0.03644608333706856	0.03386219963431358
bloom-560m/5.mlp.dense_4h_to_h	0.04346707463264465	0.0031532119028270245	0.003123976057395339	0.0032038444187492132	0.0030755188781768084
