Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
opt-125m/6.self_attn.q_proj	mse	0.9617676734924316	0.6873639225959778	0.6546286344528198
opt-125m/6.self_attn.v_proj	mse	0.008365889079868793	0.008186925202608109	0.008072794415056705
opt-125m/7.fc1	mse	0.006170179694890976	0.005543950479477644	0.00621089106425643
opt-125m/7.fc2	mse	0.00042624937486834824	0.00042454604408703744	0.0004232959763612598
opt-125m/7.self_attn.k_proj	mse	0.9895479679107666	0.7733780741691589	0.7680914998054504
opt-125m/7.self_attn.out_proj	mse	0.000178673435584642	0.00017820647917687893	0.00017702882178127766
opt-125m/7.self_attn.q_proj	mse	0.5993564128875732	0.45355990529060364	0.4547199308872223
opt-125m/7.self_attn.v_proj	mse	0.01158036757260561	0.011309186927974224	0.011205698363482952
opt-125m/8.fc1	mse	0.008209490217268467	0.007617967203259468	0.008416075259447098
opt-125m/8.fc2	mse	0.0006857106927782297	0.0006848596385680139	0.0006829735939390957
opt-125m/8.self_attn.k_proj	mse	0.9153940081596375	0.7518582344055176	0.7677001357078552
opt-125m/8.self_attn.out_proj	mse	0.00029698878643102944	0.0002963956503663212	0.00029499619267880917
opt-125m/8.self_attn.q_proj	mse	0.49833035469055176	0.387393981218338	0.39690646529197693
opt-125m/8.self_attn.v_proj	mse	0.013974322937428951	0.013585888780653477	0.013359158299863338
opt-125m/9.fc1	mse	0.010711736045777798	0.01005498692393303	0.01095766481012106
opt-125m/9.fc2	mse	0.0010512826265767217	0.0010493778390809894	0.0010464434744790196
opt-125m/9.self_attn.k_proj	mse	0.6761885285377502	0.5992971062660217	0.6205162405967712
opt-125m/9.self_attn.out_proj	mse	0.0005071379709988832	0.0005056899390183389	0.0005033997003920376
opt-125m/9.self_attn.q_proj	mse	0.3113603889942169	0.27073439955711365	0.29138311743736267
opt-125m/9.self_attn.v_proj	mse	0.01613481156527996	0.015887930989265442	0.01590796560049057
