Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/5.mlp.dense_h_to_4h	mse	0.04326048865914345	0.04326161742210388	0.043249160051345825
bloom-560m/5.self_attention.dense	mse	0.0009481675224378705	0.0009454698301851749	0.0009382804855704308
bloom-560m/5.self_attention.query_key_value	mse	0.07403579354286194	0.07402646541595459	0.0722276046872139
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0029634772799909115	0.0029246818739920855	0.002882090862840414
bloom-560m/6.mlp.dense_h_to_4h	mse	0.051605481654405594	0.0516510047018528	0.05165708065032959
bloom-560m/6.self_attention.dense	mse	0.001358783571049571	0.0013560329098254442	0.0013544189278036356
bloom-560m/6.self_attention.query_key_value	mse	0.10774967819452286	0.10768083482980728	0.10767640918493271
bloom-560m/7.mlp.dense_4h_to_h	mse	0.002132080728188157	0.00209446856752038	0.002060051541775465
bloom-560m/7.mlp.dense_h_to_4h	mse	0.028546899557113647	0.02853366918861866	0.02854580245912075
bloom-560m/7.self_attention.dense	mse	0.0010545040713623166	0.0010472286958247423	0.0010341316228732467
bloom-560m/7.self_attention.query_key_value	mse	0.11096445471048355	0.11100319772958755	0.11003749817609787
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0017320490442216396	0.0017132747452706099	0.0016947248950600624
bloom-560m/8.mlp.dense_h_to_4h	mse	0.02078206092119217	0.02077212743461132	0.020860567688941956
bloom-560m/8.self_attention.dense	mse	0.0011746303644031286	0.0011478682281449437	0.0011357951443642378
bloom-560m/8.self_attention.query_key_value	mse	0.22868549823760986	0.22987587749958038	0.23047186434268951
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0014894392807036638	0.0014719176106154919	0.0014509136090055108
bloom-560m/9.mlp.dense_h_to_4h	mse	0.016473736613988876	0.016464997082948685	0.016612611711025238
bloom-560m/9.self_attention.dense	mse	0.0012274454347789288	0.0012230968568474054	0.0012120341416448355
bloom-560m/9.self_attention.query_key_value	mse	0.3366449773311615	0.33714619278907776	0.335883766412735
opt-125m/0.fc1	mse	0.0014943405985832214	0.0015290427254512906	0.001577498740516603
opt-125m/0.fc2	mse	0.00017296778969466686	0.00016983765817712992	0.0001603853452252224
opt-125m/0.self_attn.k_proj	mse	0.41699835658073425	0.40493473410606384	0.401770681142807
opt-125m/0.self_attn.out_proj	mse	3.068802470806986e-05	3.067725265282206e-05	3.063276017201133e-05
opt-125m/0.self_attn.q_proj	mse	0.24533796310424805	0.23973987996578217	0.23926198482513428
opt-125m/0.self_attn.v_proj	mse	0.0020498100202530622	0.0020093966741114855	0.001962035894393921
opt-125m/1.fc1	mse	0.003966114018112421	0.003979590255767107	0.003973973914980888
opt-125m/1.fc2	mse	9.970305109163746e-05	9.998236782848835e-05	9.76147930487059e-05
opt-125m/1.self_attn.k_proj	mse	0.30824804306030273	0.3255281150341034	0.31686460971832275
